id,name,date,text,link
036,Australia,2017-11-30,Australian journalist Tracey Spicer announced on Twitter that she was launching an investigation into reports of sexual harassment by powerful Australian men in the media. ,https://www.vice.com/en_nz/article/a37znj/tracey-spicer-to-unveil-decades-of-sexual-assault-in-australian-media
004,Afghanistan,2017-12-10,Sarienews journalist Maryam Mehtar shared her story of experiencing extreme abuse about being sexually harassed in public on a daily basis.,https://www.nytimes.com/2017/12/10/world/asia/afghan-metoo-women-harassment.html
124,Canada,2017-12-02,Hundreds of people marched to promote #MoiAussi at an event in Toronto.,https://www.journaldemontreal.com/2017/12/02/moiaussi-des-centaines-de-personnes-manifestent-a-toronto
231,Ethiopia,2017-12-01,Nine middle-school aged girls organized together and spoke out about an abusive teacher in their school.,https://unicefethiopia.org/2017/11/02/in-ethiopia-girls-bravely-speak-up-against-sexually-abusive-teacher-as-me-too-campaign-kicks-off-worldwide/
250,France,2017-12-10,French journalist Sandra Muller named the name of a French executive in sharing her story of workplace harassment. ,https://www.theatlantic.com/international/archive/2017/10/the-weinstein-scandal-seen-from-france/543315/
356,India,2017-12-06,"Indian outlets attempted to teach Indian women about workplace rights and safe reporting, as well as to educate men about the scope of the problem.",https://www.thebetterindia.com/119476/metoo-campaign-victim-sexual-assault/
380,Italy,2017-12-16,"The Montecitorio Palace, normally reserved for the Italian Chamber of Deputies, was occupied solely by women in order to bring emphasis to the issue of sexual assault and society¡¯s ignorance of it.",https://www.nytimes.com/2017/12/16/world/europe/italy-sexual-harassment.html
404,Kenya,2017-12-30,Human rights reports on sexual violence were published around the 2017 election of Kenya.,https://www.nation.co.ke/oped/opinion/It-s-time-to-talk-about--MeToo-campaign-/440808-4245588-10nctx5z/index.html
578,Norway,2017-12-15," Trond Giske, the deputy leader of Norway's main opposition Labor Party, was brought to fall by his sexual harassment case.",https://www.politico.eu/article/trond-giske-kristian-tonning-riise-ulf-leirstein-metoo-hits-norways-woman-dominated-politics/
586,Pakistan,2017-12-08,"Ayesha Gulalai, who then represented Khans party in parliament, alleged that he had sent her inappropriate text messages even after she explicitly asked him not to. ",https://newrepublic.com/article/153355/making-metoo-work-pakistan
410,South Korea,2017-12-20,"Seo Ji-hyeon, who alleged during a live interview, said that a former South Korean Ministry of Justice official, Ahn Tae-geun, groped her during a funeral in 2010. ",https://asiasociety.org/korea/metoo-movement-south-korea
752,Sweden,2017-12-15,Tens of thousands of Swedish women have signed a series of appeals in the national press detailing incidents of brutal sexual assault and harassment.,https://www.nytimes.com/2017/12/15/opinion/sunday/sweden-sexual-harassment-assault.html
724,Spain,2017-12-15,Spanish journalist Cristina Fallaras posted her own multiple experiences of abuse on Twitter and encouraged other women to share their stories.,https://www.bbc.com/news/world-europe-43960647
826,United Kingdom,2017-12-20,"The politics and culture writer Kate Maltby from Times described the sexual harassment she received from Damian Green, one of the highest-ranking ministers in the Cabinet.",https://slate.com/news-and-politics/2018/01/britains-metoo-movement-is-uncovering-a-culture-of-rampant-sexism-and-harassment-in-londons-corridors-of-power.html
392,Japan,2017-12-25,The popular blogger and writer Haruka Ito spoke about her experience with sexual harassment.,https://www.politico.eu/article/metoo-sexual-assault-women-rights-japan/
156,China,2017-12-28,"Luo Xixi, a PhD student at Beihang University poster her story on Weibo about the sexual assault she received from her superviser Chen Xiaowu. ",https://www.newyorker.com/news/daily-comment/chinas-me-too-moment
276,Germany,2017-12-20,German actress Nina Brandhoff spoke publicly about the problem of sexual harassment in the entertainment industry.,https://www.thelocal.de/20171220/metoo-campaign-workplace-germany
158,Taiwan,2017-12-25,Several women rights organizations in Taiwan collectively set up a website and a hotline for sexual assaults and harassment victims.,https://medium.com/womens-march-taiwan/metoo-ending-the-silence-of-sexual-harassment-in-taiwan-8ec45734083f
246,Finland,2017-12-07,Finnish former high school students raised their voices on the sexual harassment from their male teachers. ,https://www.feministcurrent.com/2017/12/07/metoo-finnish-former-high-school-students-raise-voices/
